Generic Name,FUKKM System/Group,MDC,NEML,Method of Purchase,Category,Indications,Prescribing Restrictions,Dosage,Adverse Reaction,Contraindications,Interactions,Precautions,is_quota,MAL_Brands
Acetylsalicylic Acid 100 mg & Glycine 45 mg Tablet,Blood and Blood Forming Organs > Antithrombotic Agents,B01AC06-259-T10-01-XXX,No,Government Contract,B,"i) Prevention of myocardial infarct, stroke, vascular occlusion and deep vein thrombosis. ii) Transient ischaemic attacks",None,1 tablet daily,"Nausea, vomiting, dyspepsia, GI ulceration, haematemesis, malaena. Occasionally hepatotoxicity",Bleeding disorders. Hypersensitivity to salicylate,"Alcohol, dipyridamole, metoclopramide, metoprolol, carbonic anhydrase inhibitors, corticosteroids, coumarin anticoagulants, sulphonylureas, methotrexate, phenytoin, valproic acid, probenecid, sulphinpyrazone","Dyspepsia, gastric mucosal lesions, haemorrhagic disorders, gout, intolerant to aspirin, renal or hepatic impairment, asthma and G6PD deficiency",FALSE,MAL20116021X
Acetylsalicylic Acid 150mg Dispersible Tablet,Nervous System > Analgesics,N02BA01-000-T40-03-XXX,Yes,LP,C,Initial treatment of cardiovascular disorders such as angina pectoris and myocardial infarction and for the prevention of cardiovascular events in patients at risk. Other such uses include the treatment and prevention of cerebrovascular disorders such as stroke,None,150mg to be taken daily. Dose to be individualised. Use in children under 16 years old is not recommended,"Gastric haemorrhage, hypersensitivity, thrombocytopenia,GI disturbances; prolonged bleeding time, rhinitis, urticaria and epigastric discomfort; angioedema, salicylism, tinnitus, bronchospasm","Gastric and duodenal ulcers, haemorrhagic diathesis, hypersensitivity to aspirin or other NSAIDs, children under 12 years old. Hypersensitivity (attacks of asthma, angioedema, urticaria or rhinitis), pregnancy (third trimester), patients with haemophilia or haemorrhagic disorders, gout, severe renal or hepatic impairment, lactation","Acetazolamide, Dipyridamole: salicylate toxicity (vomiting, tachycardia, hyperpnea, mental confusion) or acetazolamide toxicity (fatigue, lethargy, somnolence, confusion, hyperchloremic metabolic acidosis). Alendronate : GI distress. Antacids, calcium. Alcohol, corticosteroids, phenylbutazone and oxyphenbutazone may increase risk of GI ulceration. Aspirin increases phenytoin levels. May antagonize actions of uricosurics and spironolactone","Renal disorders, G6PD deficiency, pregnancy, patients with flu, chicken pox or haemorrhagic fever. History of peptic ulcer or those prone to dyspepsia and those with gastric mucosal lesion, asthma or allergic disorders, dehydrated patients, uncontrolled hypertension, impaired renal or hepatic function, elderly",FALSE,MAL22086036X
Acriflavine 0.1% Lotion,Dermatologicals > Antiseptics and Disinfectants,D08AA03-000-L60-01-XXX,Yes,APPL,C+,"Infected skin, lesions, cuts, abrasions, wounds and burns.",None,Apply undiluted three times daily to the affected part .,Hypersensitivity to acriflavine compound,Hypersensitivity to acriflavine compound.,Not known,"Prolonged application, may stain skin, hair & fabric.",FALSE,MAL19940184X
Acyclovir (Aciclovir) 200mg Tablet,Antiinfectives for Systemic Use > Antivirals for Systemic Use,J05AB01-000-T10-01-XXX,Yes,APPL,A/KK,i) Treatment of Herpes simplex & Varicella zoster infections ii) Prophylaxis of Herpes simplex infections in immune-compromised patients,None,"Indication (i) Treatment for Herpes Simplex: ADULT - 200mg 5 times daily; In severely immune-compromised patients: dose can be doubled to 400 mg. CHILD - two years and above should be given adult dosages, infants and children below two years old should be given half the adult dose. Treatment for Varicella Zoster: ADULT - 800mg 5 times daily; CHILD 6 years and over: 800 mg four times daily, 2 - < 6 years: 400 mg four times daily, Under 2 years: 200 mg four times daily. Indication (ii) ADULT - Immune-compromised patients: 200 mg four times daily. Severely immune-compromised patients: dose can be doubled to 400 mg. CHILD - two years and above should be given adult dosages, infants and children below two years old should be given half the adult dose. Dosing is according to Product Information Leaflet.","Skin rashes, GI effects, fatigue",Patients known to be hypersensitivity to acyclovir,Increased mean half-life & plasma concentration with probenecid,"Patients with pre-existing neurologic, renal, or hepatic impairment, dehydrated patient, elderly and lactation",FALSE,MAL19987008A
Adenosine 3 mg/ml Injection,Cardiovascular System > Cardiac Therapy,C01EB10-000-P30-01-XXX,Yes,LP,B,Rapid conversion of paroxysmal supraventricular tachycardia to sinus rhythm,None,"ADULT: Initially: 3 mg given as a rapid IV bolus (over 2 seconds). Second dose: If the first dose does not result in elimination of the supraventricular tachycardia with in 1 or 2 minutes, 6 mg should be given also as a rapid IV bolus. Third dose: If the second dose does not result in elimination of the supraventicular tachycardia with in 1-2 minutes, 12 mg should be given also as a rapid IV bolus","Facial flush, dyspnoea, a feeling of thorasic constriction, nausea, lightheadedness, feeling of discomfort, sweating, palpitations, hyperventilation, head pressure, apprehension, blurred vision, burning sensation, bradycardia, chest pains, headache, dizziness, heaviness in arms, arm, back and neck pains; metallic taste","Bradycardia, bronchoconstrictive or bronchospastic lung disease (eg. asthma). Hypersensitivity to adenosine, second-degree or third-degree AV block (unless pacemaker fitted), sinus node disease (eg. sick sinus syndrome)",Actions may be potentiated by dipyridamole and carbamazepine. Theophylline & caffeine inhibit its action,"Avoid concomitant use of dipyridamole and methylxanthines (eg: caffeine, theophylline). Cardiac arrest, heart block, heart transplant patients, hypertension, hypotension, myocardial infarction. Proarrhythmic events; new rhythms, particularly at time of conversion and unstable angina",FALSE,
Adrenaline Acid Tartrate (Epinephrine) 1 mg/ml Injection,Cardiovascular System > Cardiac Therapy,C01CA24-123-P30-01-XXX,Yes,APPL,B,Cardiopulmonary resuscitation,None,1 mg by intravenous injection repeated every 3-5 minutes according to response,"Hypertension, arrhythmias, nausea, vomiting, headache, shortness of breath, sneezing","Cardiac dilatation, coronary insufficiency. Within 2 weeks of MAOI use.Organic brain damage, narrow-angle glaucoma. Shock. Concurrent use with local anesthetics for injection of certain areas (eg; fingers, toes, ears); increased risk of vasoconstriction and sloughing of tissue. oncurrent use with cyclopropane or halogenated hydrocarbon anaesthetics; may produce fatal ventricular arrhythmias. Labor; may delay the second stage","Beta-blocking,alpha-adrenergic blockers agents,antihistamines,tricyclic antidepressants carvedilol, chlorpromazine, halothane, moclobemide, rocuronium, selegiline, timolol,methyldopa, diuretics, oxytoxic drugs","Elderly patients, patients with; CV disease, pulmonary oedema, hypertension, hyperthyroidism, diabetes, psychoneurotic illness, asthma, prefibrillatory rhythm, or anesthetic cardiac acidents. Bronchial asthma/emphysema,cerebrovascular hemorrhage, pregnancy, lactation, children",FALSE,
Albendazole 200mg Tablet,"Antiparasitic Products, Insecticides and Repellents > Anthelmintics",P02CA03-000-T10-01-XXX,Yes,APPL,C+,i) Single or mixed infestations of intestinal parasites ii) Strongyloides infection,C+,i)Child 12-24months: 200mg as a single dose ii) Adult & Child above 2 years: 400mg as a single dose for 3 consecutive days; Child 12 - 24months: 200mg as a single dose for 3 consecutive days,"Gastrointestinal discomfort, dizziness, headache, erythema multiforme, Stevens-Johnson syndrome, agranulocytosis, aplastic anemia, leukopenia, pancytopenia, thrombocytopenia, hepatotoxicity","Patients with hypersensitivity to albendazole or to the benzimidazole drug class, pregnancy (avoid pregnancy for at least one month following therapy)",Concurrent use with dexamethasone may result in an increased risk of albendazole adverse effects.,"Discontinue therapy if liver function test elevations are significant, retinal lesions, cerebral hypertensive episodes, pregnancy, hepatic disease, retinal lesions",FALSE,MAL20013131XZ
Albendazole 200mg/5 ml Suspension,"Antiparasitic Products, Insecticides and Repellents > Anthelmintics",P02CA03-000-L80-01-XXX,Yes,APPL,C+,i) Single or mixed infestations of intestinal parasites ii) Strongyloides infection,None,i)Child 12-24months: 200mg as a single dose ii) Adult & Child above 2 years: 400mg as a single dose for 3 consecutive days; Child 12 - 24months: 200mg as a single dose for 3 consecutive days,"Gastrointestinal discomfort, dizziness, headache, erythema multiforme, Stevens-Johnson syndrome, agranulocytosis, aplastic anemia, leukopenia, pancytopenia, thrombocytopenia, hepatotoxicity",Patients with hypersensitivity to albendazole or to the benzimidazole drug class. Pregnancy (avoid pregnancy for at least one month following therapy),Concurrent use with dexamethasone may result in an increased risk of albendazole adverse effects,"Discontinue therapy if liver function test elevations are significant, retinal lesions, cerebral hypertensive episodes, pregnancy, hepatic disease, retinal lesions",FALSE,MAL19988504X
Alfacalcidol 0.25mcg Capsule,Alimentary Tract and Metabolism > Vitamins,A11CC03-000-C10-01-XXX,No,APPL,A/KK,i) Chronic kidney disease mineral bone disorder ii) Osteoporosis iii) Hypoparathyroidism and pseudohypoparathyroidism iv) Rickets and osteomalacia,A/KK,Initial dose ADULT and CHILD above 20kg body weight : 1 mcg daily; CHILD under 20kg body weight : 0.05 mcg/kg/day. Maintenance dose : 0.25 mcg to 2 mcg daily Dosing is individualised based on serum calcium level and according to product insert/protocol,"Hypercalcaemia-stop immediately until serum calcium levels return to normal (in about one week) and then resumed at half the previous dose. Anorexia, nausea, vomiting, diarrhoea, lassitude, polyuria, sweating, headache, thirst, vertigo, pruritus, rash, urticaria,hypercalciuria and ectopic calcification. In case of renal impairment, hyperphosphataemia. In hypercalcaemic dialysis patients, possibility of calcium influx from the dialysate should be considered","Hypercalcaemia, metastatic calcification, hyperphosphataemia (except when occurring with hypoparathyroidism), hypermagnesaemia, vitamin D overdose,known hypersensitivity to alfacalcidol, vitamin D or any of its analogues and derivatives.","Thiazide diuretics, calcium, phosphates, carbamazepine, phenobarbitone","Pregnancy, lactation, renal impairment, infants, elderly. Serum levels of calcium should be monitor regularly (weekly to monthly, depending in the progress of the patient) especially in children, renal impairment and patients receiving high doses. Caution in hypercalciuria esp in those with history of renal calculi and patients being treated with cardioactive glycosides or digitalis.",FALSE,"MAL06100623X,MAL06121071X"
Alfacalcidol 1mcg Capsule,Alimentary Tract and Metabolism > Vitamins,A11CC03-000-C10-02-XXX,No,LP,A/KK,i) Chronic kidney disease mineral bone disorder ii) Osteoporosis iii) Hypoparathyroidism and pseudohypoparathyroidism iv) Rickets and osteomalacia,A/KK,Initial dose ADULT and CHILD above 20kg body weight : 1 mcg daily; CHILD under 20kg body weight : 0.05 mcg/kg/day. Maintenance dose : 0.25 mcg to 2 mcg daily Dosing is individualised based on serum calcium level and according to product insert/protocol,"Hypercalcaemia-stop immediately until serum calcium levels return to normal (in about one week) and then resumed at half the previous dose. Anorexia, nausea, vomiting, diarrhoea, lassitude, polyuria, sweating, headache, thirst, vertigo, pruritus, rash, urticaria,hypercalciuria and ectopic calcification. In case of renal impairment, hyperphosphataemia. In hypercalcaemic dialysis patients, possibility of calcium influx from the dialysate should be considered","Hypercalcaemia, metastatic calcification, hyperphosphataemia (except when occurring with hypoparathyroidism), hypermagnesaemia, vitamin D overdose,known hypersensitivity to alfacalcidol, vitamin D or any of its analogues and derivatives.","Thiazide diuretics, calcium, phosphates, carbamazepine, phenobarbitone,","Pregnancy, lactation, renal impairment, infants, elderly. Serum levels of calcium should be monitor regularly (weekly to monthly, depending in the progress of the patient) especially in children, renal impairment and patients receiving high doses. Caution in hypercalciuria esp in those with history of renal calculi and patients being treated with cardioactive glycosides or digitalis.",FALSE,
